osmid,name,highway,surface,tracktype,foot,bicycle,sac_scale,trail_visibility,smoothness,width,mtb:scale,mtb:scale:imba,osmc:symbol,image,incline,lit,step_count,ford,bridge,tunnel,wheelchair,ramp,source,mapillary,scenic,section,footway,sidewalk,length_m,corridor
290833706,SAT Fjärdlång,track,compacted,,designated,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%2872%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,861.1374823008712,TRACK
290833707,SAT Fjärdlång,path,,,designated,,hiking,good,,0.4,,,,https://upload.wikimedia.org/wikipedia/commons/f/ff/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28209%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,575.6799127830326,DEDICATED_PATH
290833708,SAT Fjärdlång,path,compacted,,designated,,,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28149%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,4841.38459803012,DEDICATED_PATH
290833709,SAT Fjärdlång,footway,compacted,,designated,,hiking,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28165%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,837.8232207486504,DEDICATED_PATH
511516253,SAT Fjärdlång,path,wood,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28200%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,20.319533465595864,DEDICATED_PATH
511516256,SAT Fjärdlång,path,rock;compacted,,yes,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/ff/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28193%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,844.5984329017003,DEDICATED_PATH
511516259,SAT Fjärdlång,path,compacted;rock,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28178%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,516.4657746526943,DEDICATED_PATH
511516260,SAT Fjärdlång,path,,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28199%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,261.79227103561107,DEDICATED_PATH
969868961,SAT Fjärdlång,path,ground,,designated,,hiking,intermediate,,0.3,,,,https://upload.wikimedia.org/wikipedia/commons/4/44/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%2827%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,2840.4549985027234,DEDICATED_PATH
1051829399,SAT Fjärdlång,path,ground,,,,hiking,good,,0.7,,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28153%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,637.2892158514942,DEDICATED_PATH
1051829400,SAT Fjärdlång,path,"ground,rock",,designated,,hiking,good,,0.4,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28159%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,330.37731307067423,DEDICATED_PATH
1379168626,SAT Fjärdlång,path,,,designated,,hiking,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28211%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,19.513023515293593,DEDICATED_PATH
1379168627,SAT Fjärdlång,path,grass,,,,hiking,good,good,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_t%C3%A4ltplats_%281%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,561.7299835713064,DEDICATED_PATH
1379168630,SAT Fjärdlång,track,compacted,,designated,,hiking,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%2879%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,995.8375125800727,TRACK
1379168631,SAT Fjärdlång,track,compacted,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/9/93/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%2883%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,361.99745255356277,TRACK
1379168632,SAT Fjärdlång,path,compacted,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_vattenkran_och_toalett.jpg,,,,,,,,,,,,SAT Fjärdlång,,,62.880127154726765,DEDICATED_PATH
1379168633,SAT Fjärdlång,track,grass,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/47/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%2885%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,185.79368686644622,TRACK
1426868249,SAT Fjärdlång,path,ground,,,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_%28220%29.jpg,,,,,,,,,,,,SAT Fjärdlång,,,341.10869256324037,DEDICATED_PATH
34916741,Förängsvägen,residential,asphalt,,,,hiking,good,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/SAT_Furusund_2025_april_%2821%29.jpg,,,,,,,,,,,,SAT Furusund,,,882.7976398263075,CAR_ROAD
35674391,Duvkällevägen,residential,compacted,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/SAT_Furusund_%2818%29.jpg,,,,,,,,,,,,SAT Furusund,,,612.9546802923595,CAR_ROAD
36729993,Tullvägen,residential,unpaved,,,,hiking,good,,,,,,,,,,,,,,,,,,SAT Furusund,,,87.95065699085093,CAR_ROAD
36729996,Strindbergs väg,residential,compacted,,,,hiking,good,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/6/67/SAT_Furusund_2025_april_%2825%29.jpg,,,,,,,,,,,,SAT Furusund,,,499.6451643097048,CAR_ROAD
36730525,Nordkapsvägen,residential,compacted,,designated,,hiking,good,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/SAT_Furusund_%285%29.jpg,,,,,,,,,,,,SAT Furusund,,,942.0085301099747,CAR_ROAD
36730526,Karlabacken,residential,gravel,,designated,,hiking,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/SAT_Furusund_Duvk%C3%A4llev%C3%A4gen_-_Monte_Christos_V%C3%A4g.jpg,,,,,,,,,,,,SAT Furusund,,,101.27622250980848,CAR_ROAD
36730528,SAT Furusund,track,compacted,grade2,,,hiking,intermediate,,0.4,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/SAT_Furusund_%2811%29.jpg,,,,,,,,,,,,SAT Furusund,,,218.51988391326762,TRACK
37905312,Fagerviksbacken,residential,compacted,,designated,,hiking,no,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/SAT_Furusund_%2827%29.jpg,,,,,,,,,,,,SAT Furusund,,,160.2864248726528,CAR_ROAD
37905313,Fagerviksbacken,residential,compacted,,designated,,,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a7/SAT_Furusund_%2828%29.jpg,,,,,,,,,,,,SAT Furusund,,,100.62332567045081,CAR_ROAD
37905315,SAT Furusund,path,dirt,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/SAT_Furusund_%2829%29.jpg,,,,,,,,,,,,SAT Furusund,,,265.3388351366527,DEDICATED_PATH
303440182,Furusunds strandväg,residential,compacted,,,,hiking,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/9/95/SAT_Furusund_2025_april_Furusunds_strandv%C3%A4g.jpg,,,,,,,,,,,,SAT Furusund,,,173.8737537775416,CAR_ROAD
377021718,Karlavägen,path,grass,,designated,yes,hiking,no,good,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7f/SAT_Furusund_%283%29.jpg,,,,,,,,,,,,SAT Furusund,,,281.09693354089603,DEDICATED_PATH
641493537,Röd slinga,path,dirt,,designated,,hiking,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/b/b1/SAT_Furusund_%2823%29.jpg,,,,,,,,,,,,SAT Furusund,,,742.2511472159903,DEDICATED_PATH
641493539,Röd slinga,path,,,,,hiking,good,,0.3,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/SAT_Furusund_vandringsled.jpg,,,,,,,,,,,,SAT Furusund,,,350.01790229522896,DEDICATED_PATH
641493541,Röd slinga,path,,,,,,no,,0.3,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/SAT_Furusund_vandringsled.jpg,,,,,,,,,,,,SAT Furusund,,,13.611238507136274,DEDICATED_PATH
641493542,Röd slinga,path,compacted,grade2,designated,,hiking,good,,0.4,5,,,https://upload.wikimedia.org/wikipedia/commons/3/3d/SAT_Furusund_%2840%29.jpg,,,,,,,,,,,,SAT Furusund,,,1102.4481489576344,DEDICATED_PATH
641493543,Röd slinga,path,sand,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/SAT_Furusund_grillplats_Myrudden.jpg,,,,,,,,,,,,SAT Furusund,,,145.22349476723764,DEDICATED_PATH
641493544,SAT Furusund,track,compacted,grade2,designated,,,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/7/7d/SAT_Furusund_%2841%29.jpg,,,,,,,,,,,,SAT Furusund,,,161.55209351631729,TRACK
641563023,Zorns väg,service,compacted,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/SAT_Furusund_%2815%29.jpg,,,,,,,,,,,,SAT Furusund,,,431.36731950603763,CAR_ROAD
715079501,SAT Furusund,steps,compacted,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/SAT_Furusund_%282%29.jpg,,,,,,,,,,,,SAT Furusund,,,104.94478564990123,STEPS
949099729,SAT Furusund,path,dirt,,designated,,,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/7/75/SAT_Furusund_2025_april_%285%29.jpg,,,,,,,,,,,,SAT Furusund,,,934.1002948316811,DEDICATED_PATH
1158721589,Furusunds strandväg,residential,gravel,,,,hiking,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/9/95/SAT_Furusund_2025_april_Furusunds_strandv%C3%A4g.jpg,,,,,,,,,,,,SAT Furusund,,,447.59320754200195,CAR_ROAD
1158721590,Furusunds strandväg,residential,compacted,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/SAT_Furusund_Furusunds_strandv%C3%A4g_utloppet_fr%C3%A5n_Maren.jpg,,,,,yes,,,,,,,SAT Furusund,,,13.61970988097489,CAR_ROAD
1303745448,SAT Furusund,path,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/32/SAT_Furusund_%289%29.jpg,,,,,,,,,,,,SAT Furusund,,,1507.132471532847,DEDICATED_PATH
1303745449,SAT Furusund,path,ground,,,,hiking,intermediate,,0.8,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/SAT_Furusund_%2812%29.jpg,,,,,,,,,,,,SAT Furusund,,,473.93842374355467,DEDICATED_PATH
1379164662,Friluftsvägen,residential,compacted,,,,,,,,,,,,,,,,,,,,,,,SAT Furusund,,,14.827449376622198,CAR_ROAD
1379164663,Furusundsvägen,secondary,asphalt,,,,,,,,,,,,,,,,,,,,,,,SAT Furusund,,,9.872214026563025,CAR_ROAD
1379164665,SAT Furusund,path,dirt,,designated,,,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/SAT_Furusund_2025_april_%289%29.jpg,,,,,,,,,,,,SAT Furusund,,,31.588553557897256,DEDICATED_PATH
1379164666,SAT Furusund,path,compacted,,designated,,,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/SAT_Furusund_2025_april_%289%29.jpg,,,,,,,,,,,,SAT Furusund,,,763.9933060191487,DEDICATED_PATH
1379164667,SAT Furusund,path,dirt,,designated,,hiking,good,,0.4,,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/SAT_Furusund_2025_april_%2814%29.jpg,,,,,,,,,,,,SAT Furusund,,,391.04337642631725,DEDICATED_PATH
1379164668,Ekuddsvägen,residential,asphalt,,designated,,hiking,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/SAT_Furusund_2025_april_%2818%29.jpg,,,,,,,,,,,,SAT Furusund,,,190.55999485912557,CAR_ROAD
1379164669,Varvsvägen,residential,asphalt,,,,hiking,good,,3,,,,https://upload.wikimedia.org/wikipedia/commons/e/e9/SAT_Furusund_2025_april_%2819%29.jpg,,,,,,,,,,,,SAT Furusund,,,180.85874686720751,CAR_ROAD
1379164671,Furusunds strandväg,tertiary,asphalt,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/SAT_Furusund_2025_april_f%C3%A4rjestopp_Furusund_Furusundsbrygga.jpg,,,,,,,,,,,,SAT Furusund,,,61.37046144279586,CAR_ROAD
1379164673,SAT Furusund,path,gravel,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/1/16/SAT_Furusund_2025_april_%2830%29.jpg,up/down,,,,,,,,,,,SAT Furusund,,,58.74312830272721,DEDICATED_PATH
1379164674,SAT Furusund,path,grass,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Furusunds_V%C3%A4rdshus_2025_april_%282%29.jpg,,,,,,,,,,,,SAT Furusund,,,232.8288156432201,DEDICATED_PATH
1379164675,SAT Furusund,service,gravel,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/SAT_Furusund_2025_april_boule.jpg,,,,,,,,,,,,SAT Furusund,,,29.362928337798735,CAR_ROAD
1379164676,Furusunds strandväg,tertiary,asphalt,,,,hiking,good,,,,,,,,,,,,,,,,,,SAT Furusund,,,223.5333682207973,CAR_ROAD
1379164677,Furusunds strandväg,residential,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/SAT_Furusund_2025_april_Furusunds_strandv%C3%A4g_%283%29.jpg,,,,,,,,,,,,SAT Furusund,,,10.928947635787003,CAR_ROAD
1379164679,Nordkapsvägen,residential,compacted,,designated,,hiking,good,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/SAT_Furusund_%285%29.jpg,,,,,,,,,,,,SAT Furusund,,,64.75989279340207,CAR_ROAD
1379164681,Skatevägen,residential,compacted,,designated,,hiking,good,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/SAT_Furusund_%286%29.jpg,,,,,,,,,,,,SAT Furusund,,,144.78033086526295,CAR_ROAD
1379164688,Fagerviksbacken,residential,compacted,,,,hiking,no,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/SAT_Furusund_vandringsled.jpg,,,,,,,,,,,,SAT Furusund,,,16.624354181806943,CAR_ROAD
1379164690,SAT Furusund,track,gravel,grade2,designated,,,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/SAT_Furusund_%2829%29.jpg,,,,,,,,,,,,SAT Furusund,,,43.03432850160117,TRACK
1426280370,SAT Furusund,track,gravel,,,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/SAT_Furusund_2025_april_boule.jpg,,,,,,,,,,,,SAT Furusund,,,36.5055579436225,TRACK
1426280372,SAT Furusund,path,gravel,,,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/SAT_Furusund_2025_april_boule.jpg,,,,,,,,,,,,SAT Furusund,,,24.369106476146825,DEDICATED_PATH
1426280373,SAT Furusund,steps,gravel,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/SAT_Furusund_2025_april_boule.jpg,,,4,,,,,,,,,SAT Furusund,,,14.092443582934536,STEPS
72350505,SAT Grinda,track,ground,grade2,designated,,,medium,intermediate,2,,,,https://upload.wikimedia.org/wikipedia/commons/8/8f/SAT_Grinda_21_leden.jpg,,,,,,,,,,,,SAT Grinda,,,1312.6741382344253,TRACK
72350510,SAT Grinda,track,compund,grade2,designated,yes,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/SAT_Grinda_20250825_Batch_21.jpg/1536px-SAT_Grinda_20250825_Batch_21.jpg,,,,,,,,,,,,SAT Grinda,,,885.1280344068269,TRACK
72350511,SAT Grinda,track,compacted,grade2,designated,yes,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/SAT_Grinda_20250825_vandring_dokumentera_17.jpg/3024px-SAT_Grinda_20250825_vandring_dokumentera_17.jpg,,yes,,,,,,,,,,SAT Grinda,,,451.7817700079426,TRACK
72350520,SAT Grinda,footway,wood,,,,,,,,,,,,,,,,,,,,,,,SAT Grinda,,,9.86733921861132,DEDICATED_PATH
72716862,SAT Grinda,path,grass,,designated,,,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/SAT_Grinda_07_Klubbudden.jpg,,,,,,,,,,,,SAT Grinda,,,702.9418075844287,DEDICATED_PATH
72716866,SAT Grinda,path,dirt,,designated,,,,,,,,,,,,,,,,,,,,,SAT Grinda,,,93.87128385084299,DEDICATED_PATH
239983317,SAT Grinda,path,dirt,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/SAT_Grinda_18_Grinda_Camping.jpg,,,,,,,,,,,,SAT Grinda,,,991.3110982793099,DEDICATED_PATH
424500643,SAT Grinda,path,rock,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/SAT_Grinda_28_b%C3%A4nk_p%C3%A5_leden.jpg,,,,,,,,,,,,SAT Grinda,,,16.16353815949833,DEDICATED_PATH
424500644,SAT Grinda,path,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/SAT_Grinda_28_b%C3%A4nk_p%C3%A5_leden.jpg,,,,,,,,,,,,SAT Grinda,,,1610.5651971561474,DEDICATED_PATH
427182338,SAT Grinda,footway,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Grinda_20250825_vandring_10.jpg/2560px-Grinda_20250825_vandring_10.jpg,,,,,,,,,,,,SAT Grinda,,,27.35442183361192,DEDICATED_PATH
846691155,SAT Grinda,path,compacted,,designated,,hiking,good,impassable,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/SAT_Grinda_10_ledmarkering.jpg,,,,,,,,,,,,SAT Grinda,,,1042.3777948591232,DEDICATED_PATH
846691156,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,,,,,,,,,,,,,SAT Grinda,,,444.8263077100408,DEDICATED_PATH
940430627,SAT Grinda,path,gravel,,designated,,hiking,good,,,,,,,,,,,,,,,,,,SAT Grinda,,,631.5120635159478,DEDICATED_PATH
1383521890,SAT Grinda,footway,wood,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Grinda%2C_20160528%2C_05.jpg/1280px-Grinda%2C_20160528%2C_05.jpg,,,,,yes,,,,,,,SAT Grinda,,,39.82257526915047,DEDICATED_PATH
1383521891,SAT Grinda,track,fine_gravel,grade2,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/SAT_Grinda_20250825_vandring_dokumentera_18.jpg/2560px-SAT_Grinda_20250825_vandring_dokumentera_18.jpg,,yes,,,,,,,,,,SAT Grinda,,,179.70662725707925,TRACK
1383521893,SAT Grinda,track,,grade2,designated,yes,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/SAT_Grinda_20250825_vandring_dokumentera_17.jpg/1536px-SAT_Grinda_20250825_vandring_dokumentera_17.jpg,,yes,,,,,,,,,,SAT Grinda,,,122.45124592844549,TRACK
1383521895,SAT Grinda,path,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/SAT_Grinda_25.jpg,,,,,,,,,,,,SAT Grinda,,,424.28802286651364,DEDICATED_PATH
1383521896,SAT Grinda,track,compacted,grade2,designated,yes,hiking,good,,,,,,,,,,,,,,,,,,SAT Grinda,,,130.16128252372718,TRACK
1383521899,SAT Grinda,track,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/SAT_Grinda_29_leden_med_markering.jpg,,,,,,,,,,,,SAT Grinda,,,136.22633223831536,TRACK
1383521900,SAT Grinda,track,gravel,grade2,designated,yes,hiking,good,good,,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/SAT_Grinda_33_S%C3%B6dra_Bryggan.jpg,,yes,,,,,,,,,,SAT Grinda,,,67.7733240847976,TRACK
1383521901,SAT Grinda,track,gravel,grade2,designated,yes,,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/SAT_Grinda_toalett_s%C3%B6dra_bryggan_20250826_03.jpg,up,yes,,,,,,,,,,SAT Grinda,,,558.5701924146422,TRACK
1383521902,SAT Grinda,track,compacted,grade4,destignated,yes,hiking,good,intermediate,1,,,,https://upload.wikimedia.org/wikipedia/commons/3/3b/SAT_Grinda_20250825_Batch_17.jpg,,,,,,,,,,,,SAT Grinda,,,415.8372652883496,TRACK
1383521903,SAT Grinda,footway,gravel,,designated,,,good,,,,,,,,,,,,,,,,,,SAT Grinda,,,99.50567412742215,DEDICATED_PATH
1383521904,Grindastigen,path,compacted,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/SAT_Grinda_04.jpg,,,,,,,,,,,,SAT Grinda,,,1574.998060665065,DEDICATED_PATH
1383521906,SAT Grinda,path,,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Grinda%2C_Klubbudden_Barbecue_area.jpg,,,,,,,,,,,,SAT Grinda,,,113.23163851247321,DEDICATED_PATH
1383521907,SAT Grinda,path,,,designated,,,,,,,,,,,,,,,,,,,,,SAT Grinda,,,164.70716031401136,DEDICATED_PATH
1383521909,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/SAT_Grinda_10_ledmarkering.jpg,,,,,,,,,,,,SAT Grinda,,,125.83613996235607,DEDICATED_PATH
1383521911,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/SAT_Grinda_10_ledmarkering.jpg,,,,,,,,,,,,SAT Grinda,,,217.51900816978673,DEDICATED_PATH
1383521912,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,,,,,,,,,,,,,SAT Grinda,,,97.65899362273771,DEDICATED_PATH
1383521913,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,,,,,,,,,,,,,SAT Grinda,,,214.8523735270599,DEDICATED_PATH
1383521916,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,,,,,,,,,,,,,SAT Grinda,,,870.7628719062787,DEDICATED_PATH
1383521917,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,,,,,,,,,,,,,SAT Grinda,,,125.83552549494868,DEDICATED_PATH
1383521919,SAT Grinda,path,compacted,,designated,,hiking,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/5/50/SAT_Grinda_ny_grillplats_2025_mar.jpg,,,,,,,,,,,,SAT Grinda,,,157.49762471507506,DEDICATED_PATH
1383521920,SAT Grinda,path,compacted,,designated,,hiking,good,,0.4,,,,,,,,,,,,,,,,SAT Grinda,,,830.482417778574,DEDICATED_PATH
1383521922,SAT Grinda,path,compacted,,designated,,hiking,good,,1,,,,,,,,,,,,,,,,SAT Grinda,,,96.3854670284909,DEDICATED_PATH
1383521924,SAT Grinda,path,dirt,,,,,,,,,,,,,,,,,,,,,,,SAT Grinda,,,9.776326883985314,DEDICATED_PATH
1383521925,SAT Grinda,path,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/SAT_Norra_Grinda_2025_mar.jpg,,,,,,,,,,,,SAT Grinda,,,346.1570273380242,DEDICATED_PATH
1383521926,SAT Grinda,track,,grade2,designated,yes,,,,,,,,,,yes,,,,,,,,,,SAT Grinda,,,124.1372022873611,TRACK
1383521927,SAT Grinda,track,,grade2,designated,yes,,good,,,,,,,,yes,,,,,,,,,,SAT Grinda,,,256.5231886677051,TRACK
1383521929,SAT Grinda,path,dirt,,designated,,,,,,,,,,,,,,,,,,,,,SAT Grinda,,,58.26527348209519,DEDICATED_PATH
39504804,Ingmarsö byväg,unclassified,compacted,,designated,,hiking,good,,2,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/SAT_Ingmars%C3%B6_%2854%29.jpg,,,,,,,,,,,,SAT Ingmarsö,,,963.3795445500878,CAR_ROAD
39504805,Båtluffarleden,path,ground,,designated,,hiking,,good,0.8,,,,https://upload.wikimedia.org/wikipedia/commons/4/44/SAT_Ingmars%C3%B6_%2845%29.jpg,,,,,,,,,,,,SAT Ingmarsö,,,454.3586101318086,DEDICATED_PATH
39504808,Båtluffarleden,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg/1536px-B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg?fbclid=IwQ0xDSwMGdJVleHRuA2FlbQIxMQABHgPg9_qauG70Ra2Wzp-_Pq0U5kZqOmTrpXlEvnl_lN1adlz2Bjld657nrbCN_aem_eQ,,,,,,,,,,,,SAT Ingmarsö,,,782.3881016460779,OTHER
506646172,Båtluffarleden,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/SAT_Ingmars%C3%B6_B%C3%A5tluffarleden_%2851%29.jpg,,,,,,,,,,,,SAT Ingmarsö,,,2080.099749419021,DEDICATED_PATH
620363896,SAT Ingmarsö,path,ground,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Ingmars%C3%B6_Femsundsvikens_badplats_02.jpg/2560px-Ingmars%C3%B6_Femsundsvikens_badplats_02.jpg,,,,,,,,,,,,SAT Ingmarsö,,,96.48748430047658,DEDICATED_PATH
620363911,Båtdragsvägen,service,compacted,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Ingmars%C3%B6_202508_SAT_10.jpg,,,,,,,,,,,,SAT Ingmarsö,,,123.50397747593934,CAR_ROAD
620363927,Djurgårdsvägen,service,compacted,,designated,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/d/de/SAT_Ingmars%C3%B6_%285%29.jpg,,,,,,,,,,,,SAT Ingmarsö,,,371.8705408131955,CAR_ROAD
620363929,Djurgårdsvägen,unclassified,compacted,,designated,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/7/75/SAT_Ingmars%C3%B6_%289%29.jpg,,,,,,,,,,,,SAT Ingmarsö,,,386.4427722366949,CAR_ROAD
620363942,SAT Ingmarsö,path,compacted,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/SAT_Ingmars%C3%B6_%2812%29.jpg,,,,,,,,,,,,SAT Ingmarsö,,,752.3180333751442,DEDICATED_PATH
