qid,osm_rel,osm_way,todo
Q91914178,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/prastskaten.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/palamalm.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rensattra.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/reveludden.html in OSM relation/way
Q10651573,1463762,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/revskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rimsjo.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rimsjoskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rinkebyskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rosenlundsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rotholma.html in OSM relation/way
Q10657592,10626565,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rudan.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ryssbergens-naturreservat.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rada.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ragsved.html in OSM relation/way
Q55693512,13011640,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rastasjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ravsta.html in OSM relation/way
Q18332369,,103224118,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ronninge-by-skavloten.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ronnskars-udde.html in OSM relation/way
Q30160170,,103226455,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rorvik.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rorviksskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rosaringsasen.html in OSM relation/way
Q30172755,10519502,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/rosjoskogen.html in OSM relation/way
Q30166263,1463798,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sandholmarna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/singo-soderby.html in OSM relation/way
Q10669326,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sjalbottna-ostra-lagno.html in OSM relation/way
Q10669326,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sjalbottna-ostra-lagno.html in OSM relation/way
Q30158245,,103228602,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skansholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skarpnas.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skeppnan.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skevik.html in OSM relation/way
Q30166889,10626311,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skogsskar-vindalso.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skogstorp.html in OSM relation/way
Q3562577,1463747,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skogso.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skalhamra-kvighage.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skondalsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/skotkobbarna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/slandon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/slessberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/smedsmoraskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/smabodarna.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stavsudda-krokholmen.html in OSM relation/way
Q30167181,,103227976,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stavsudda-tjago.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/steningedalen.html in OSM relation/way
Q30167075,,103228399,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stensholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sticklinge.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-alsjon.html in OSM relation/way
Q10681079,1463785,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-nassa.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storanden.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-och-lilla-sandbote.html in OSM relation/way
Q30172916,10626045,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-sunnkobben.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-trasket.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-uringe.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stora-vindasen.html in OSM relation/way
Q30163326,10626318,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stor-kunnan.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storlaven.html in OSM relation/way
Q30183496,,103224006,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stortjaran.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storvikaren.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storangen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storangstorpet.html in OSM relation/way
Q29579991,,103228650,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/storo.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stralsjon-erstavik.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stroja.html in OSM relation/way
Q30175524,,103225003,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/stangskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/staketskogen.html in OSM relation/way
Q10683750,1463756,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sundby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svalgarn.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svartkobben.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svartkallsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svartkarret.html in OSM relation/way
Q10684954,,103223783,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svenska-bjorn.html in OSM relation/way
Q5238909,13212844,103226666,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svenska-hogarna.html in OSM relation/way
Q26256700,16033881,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/svardso.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/satraskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sattra-gard.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sodergarn.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sodra-stavsudda.html in OSM relation/way
Q30174497,8494866,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/sodra-tornskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/talbyskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tattby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tegelhagsskogen.html in OSM relation/way
Q121433503,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/telegrafberget.html in OSM relation/way
Q25269455,6376975,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tollare.html in OSM relation/way
Q10700136,1464356,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tornberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/torslunda.html in OSM relation/way
Q30177066,1463744,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tranvik.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tre-backar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/trehorningsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/trollsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/trangsundsskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tulka.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/tullgarn.html in OSM relation/way
Q30160002,,793248665,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/taby-prastgard.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/uddaberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ulriksdal.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vackstaskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vallensjo.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vattmoraberget.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/velamsund.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vickelsjon.html in OSM relation/way
Q10715120,10626043,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vidinge.html in OSM relation/way
Q10715125,10626054,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vidingsora.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vigelsjo.html in OSM relation/way
Q10715681,10626316,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vindalso.html in OSM relation/way
Q10715845,3820244,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vinterskogen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vagsjon.html in OSM relation/way
Q30158217,10992515,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vansholmen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vaddo-prastgard.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vasby-hage.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vasterangsudd.html in OSM relation/way
Q30204726,10627922,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/vastra-jarvafaltet.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/yttereneby.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ado-lagno.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alandsskar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/arstaskogen-och-arsta-holmar.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/attesta.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/avinge.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alta-mosse-stralsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alvsjoskogen.html in OSM relation/way
Q30171561,1463780,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/applaro.html in OSM relation/way
Q30170445,8537631,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/oarna-i-stora-vartan.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/obacken-branninge.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/on-bokulludden.html in OSM relation/way
Q19979180,1463783,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/oren.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/osbytrask.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/osterslumpen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ostra-brota.html in OSM relation/way
Q30158554,10627921,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/ostra-jarvafaltet.html in OSM relation/way
